Signal,GPIO MUX 1,Signal Type 1,Default Value 1,GPIO MUX 2,Signal Type 2,Default Value 2,GPIO MUX 3,Signal Type 3,Default Value 3,GPIO MUX 4,Signal Type 4,Default Value 4,GPIO MUX 5,Signal Type 5,Default Value 5,GPIO MUX 6,Signal Type 6,Default Value 6,GPIO MUX 7,Signal Type 7,Default Value 7,GPIO MUX 8,Signal Type 8,Default Value 8,GPIO MUX 9,Signal Type 9,Default Value 9,GPIO MUX 10,Signal Type 10,Default Value 10,GPIO MUX 11,Signal Type 11,Default Value 11,GPIO MUX 12,Signal Type 12,Default Value 12,GPIO MUX 13,Signal Type 13,Default Value 13,GPIO MUX 14,Signal Type 14,Default Value 14,GPIO MUX 15,Signal Type 15,Default Value 15,GPIO MUX 16,Signal Type 16,Default Value 16,GPIO MUX 17,Signal Type 17,Default Value 17,GPIO MUX 18,Signal Type 18,Default Value 18,GPIO MUX 19,Signal Type 19,Default Value 19,GPIO MUX 20,Signal Type 20,Default Value 20,GPIO MUX 21,Signal Type 21,Default Value 21,GPIO MUX 22,Signal Type 22,Default Value 22,GPIO MUX 23,Signal Type 23,Default Value 23,GPIO MUX 24,Signal Type 24,Default Value 24,GPIO MUX 25,Signal Type 25,Default Value 25,GPIO MUX 26,Signal Type 26,Default Value 26,GPIO MUX 27,Signal Type 27,Default Value 27,GPIO MUX 28,Signal Type 28,Default Value 28,GPIO MUX 29,Signal Type 29,Default Value 29,GPIO MUX 30,Signal Type 30,Default Value 30,GPIO MUX 31,Signal Type 31,Default Value 31,IO Buffer
DP3_14,MIBSPI1CS0,I/O,,ADC2EXTMUXSEL3,O,,EPWM22B,O,,FSI5TXD1,I/O,,SPI5CS3,I/O,,MIBSPI1CS4,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_15,MIBSPI1CS1,I/O,,SPI4CS0,I/O,,EPWM23A,O,,FSI5RXCLK,I/O,,SPI6CLK,I/O,,MIBSPI1CS5,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_16,MIBSPI1CS2,I/O,,SPI4CS1,I/O,,EPWM23B,O,,FSI5RXD0,I/O,,SPI6PICO,I/O,,MIBSPI1CS6,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_17,MCPWM0A,I/O,,SPI4CS2,I/O,,EPWM24A,O,,FSI5RXD1,I/O,,SPI6POCI,I/O,,MIBSPI1CS7,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_18,MCPWM0B,I/O,,SPI4CS3,I/O,,EPWM24B,O,,MCPWM7E,I/O,,SPI6CS0,I/O,,MIBSPI1CS8,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_19,MCPWM0C,I/O,,ADC1EXTMUXSEL0,O,,EPWM25A,O,,MCPWM7F,I/O,,SPI6CS1,I/O,,MIBSPI1CS9,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_20,MCPWM0D,I/O,,ADC1EXTMUXSEL1,O,,EPWM25B,O,,MCPWM8A,I/O,,SPI6CS2,I/O,,MIBSPI1CS10,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_21,MCPWM0E,I/O,,ADC1EXTMUXSEL2,O,,EPWM26A,O,,MCPWM8B,I/O,,SPI6CS3,I/O,,MIBSPI1CS11,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_22,MCPWM0F,I/O,,ADC1EXTMUXSEL3,O,,EPWM26B,O,,MCPWM8C,I/O,,EPWM31B,O,,SPI3CLK,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_23,MCPWM1A,I/O,,FSI5TXCLK,I/O,,EPWM27A,O,,MCPWM8D,I/O,,EPWM31A,O,,SPI3PICO,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
